Region,Year,Court,Case,Citation,Issue,Holding,Remedy,Risk_Level,Legal_Basis,Source_URL
British Columbia,2011,BC Supreme Court (BCSC),Century 21 Canada Ltd. v. Rogers Communications Inc. (Zoocasa),2011 BCSC 1196,"Web scraping, browse-wrap terms, copyright in listings and photos",Browse-wrap terms enforceable; copyright infringement found in photos and listing data,"Permanent injunction; statutory damages ~CAD $32,000; nominal damages",HIGH,Copyright Act; Contract law (browse-wrap),CanLII
Ontario,2017,Ontario Superior Court (ONSC),"Trader Corp. v. CarGurus, Inc.",2017 ONSC 1841,"Internet framing, copyright in photos, fair dealing defense",Framing constitutes 'making available' under Copyright Act; fair dealing defense rejected,"Statutory damages $305,604",HIGH,Copyright Act s. 2.4(1.1) and s. 27; fair dealing s. 29,CanLII/Court records
Federal,2017,Federal Court,A.T. v. Globe24h.com,2017 FC 114,"Privacy violations, republishing court decisions for profit",PIPEDA breach; republishing personal data without consent unlawful even if public record,"CAD $5,000 damages plus costs; de-indexing and erasure order",MEDIUM,Personal Information Protection and Electronic Documents Act (PIPEDA),CanLII/Federal Court
Federal,2019,Federal Court,Thomson v. Afterlife Network Inc.,2019 FC 545,Copyright in obituaries and photos; commercial scraping without consent,Authors own copyright in obituaries; commercial infringement found; statutory damages awarded,"CAD $20,000,000 statutory + aggravated damages",CRITICAL,"Copyright Act ss. 27, 28.1; statutory damages s. 38.1",CanLII/Federal Court
Federal,2019,Federal Court,Toronto Real Estate Board v. Mongohouse,Order dated 2019-04-15,Unauthorized access to proprietary data; breach of licensing agreements,Injunction granted restraining unauthorized access and data use,Court injunction/restraining order,HIGH,Court order enforcing licensing obligations,Media/Court records
Federal (Supreme Court),2017,Supreme Court of Canada (SCC),Google Inc. v. Equustek Solutions Inc.,2017 SCC 34,Worldwide de-indexing injunction against search engine,SCC upheld worldwide injunction requiring Google to de-index infringing sites globally,Worldwide injunction,CRITICAL,Equitable relief/Injunction law,SCC decision
Federal (Supreme Court),2019,Supreme Court of Canada (SCC),Keatley Surveying Ltd. v. Teranet Inc.,2019 SCC 43,Crown copyright in survey plans filed in government registry,Province owns copyright in survey plans; direction/control test applied,Appeal dismissed; Crown copyright upheld,MEDIUM,Copyright Act s. 12 (Crown copyright),SCC decision
Federal (Supreme Court),2017,Supreme Court of Canada (SCC),"Douez v. Facebook, Inc.",2017 SCC 33,Forum selection clause enforceability in consumer contracts; privacy rights,Forum selection clause unenforceable due to inequality of bargaining power and privacy interests,Action allowed in home jurisdiction; clause not enforced,MEDIUM,BC Privacy Act; Consumer protection; Contract law,SCC decision
Federal (Supreme Court),2007,Supreme Court of Canada (SCC),Dell Computer Corp. v. Union des consommateurs,2007 SCC 34,Arbitration clause enforceability in electronic contracts,Arbitration clause valid; arbitration is neutral forum independent of geography,Referral to arbitration upheld,LOW,Quebec Civil Code; Arbitration law,SCC decision
Federal (Supreme Court),2020,Supreme Court of Canada (SCC),Uber Technologies Inc. v. Heller,2020 SCC 16,Unconscionability of arbitration clause in platform contract,Arbitration clause unconscionable and invalid due to gross inequality and unfair terms,Clause unenforceable; class action may proceed,MEDIUM,Contract law; Unconscionability doctrine,SCC decision
Federal,2016,Federal Court,Canada Post v. Geolytica (Geocoder.ca),T-519-12 (settled),Copyright in crowdsourced postal code database,Case settled; no public judgment; outcome favorable to crowdsourcing advocates,Settlement; action discontinued,MEDIUM,Copyright Act; Database rights,Settlement/CIPPIC records
British Columbia,2024,BC Supreme Court (pending),CanLII v. Caseway AI et al.,Pending (filed Nov 2024),Bulk scraping of legal decisions; breach of ToS; copyright infringement,Litigation pending as of Nov 2025; civil claim alleges 3.5M files downloaded,Injunction and damages sought; no determination yet,CRITICAL,Copyright Act; Contract (breach of ToS); Terms of Service,BC Supreme Court filing
Ontario,2024,Ontario Superior Court of Justice (pending),Canadian Publishers v. OpenAI,Pending (filed Nov 2024),AI training on copyrighted news content; TPM circumvention claims,Litigation ongoing; no decision as of Nov 2025,"Injunction and damages sought (CAD $20,000/article alleged)",CRITICAL,Copyright Act; TPM circumvention ss. 41-41.27; Contract breach,Ontario Superior Court filing
