Risk Factor,Description,Risk Level,Legal Basis,Mitigation Strategies
Crown/Department Licensing & Attribution,Federal/provincial works may be Crown copyright (s.12); OGL-C allows commercial use with attribution; failure to attribute may breach license,MEDIUM,Copyright Act s.12; OGL-C; Reproduction of Federal Law Order,Always attribute Crown works; verify OGL-C compliance; check if Reproduction of Federal Law Order applies; obtain explicit permissions when uncertain
Website Terms of Service (TOS),"Browse-wrap and click-wrap terms can be enforceable contracts restricting scraping, indexing, reproduction",HIGH,Century 21 v. Zoocasa (2011 BCSC 1196); Trader v. CarGurus (2017 ONSC 1841),Review TOS before scraping; obtain licenses; respect robots.txt and technical restrictions; document compliance efforts
Privacy Constraints on Republishing Decisions,PIPEDA prohibits collection/use/disclosure of personal information in commercial activities without consent; applies even to public court records,HIGH,PIPEDA; A.T. v. Globe24h.com (2017 FC 114),Redact personal information; avoid SEO-optimized republication of decisions with personal data; implement removal procedures; respect privacy principles
Statutory Damages & TPM Circumvention,"Statutory damages: $500-$20,000/work (commercial); TPM circumvention prohibited; no actual harm proof required",VERY HIGH,Copyright Act s.38.1 (statutory damages); ss.41.1-41.21 (TPM); Nintendo v. King (2017),Never circumvent TPMs; respect paywalls and access controls; document licensing; consider statutory damages exposure in risk assessment
Browse-wrap/Click-wrap Enforceability,Standard-form online contracts generally enforceable if adequate notice provided; unconscionability defense available in extreme cases,MEDIUM-HIGH,Century 21 v. Zoocasa; Douez v. Facebook (2017 SCC 33); Uber v. Heller (2020 SCC 16),Ensure TOS are clearly displayed and brought to users' attention; avoid unconscionable terms; consider bargaining power inequality
Fair Dealing Limitations,"Fair dealing defense narrow in Canada (research, private study, criticism, review, news reporting); commercial scraping unlikely to qualify",HIGH,Copyright Act s.29; Trader v. CarGurus (fair dealing rejected),Do not rely on fair dealing for commercial scraping; obtain explicit licenses; document non-commercial research purposes if applicable
Crown Copyright in Government Data,"Works prepared/published by/under Crown control vest copyright in Crown; includes survey plans, registry data",MEDIUM,Copyright Act s.12; Keatley v. Teranet (2019 SCC 43),Verify whether data is Crown copyright; check for applicable open licenses (OGL-C); use Reproduction of Federal Law Order for federal legal materials
Forum Selection & Arbitration Clauses,May be unenforceable if unconscionable or contrary to public policy; inequality of bargaining power relevant,MEDIUM,Douez v. Facebook (2017 SCC 33); Uber v. Heller (2020 SCC 16); Dell v. Union des consommateurs (2007 SCC 34),"Evaluate enforceability based on bargaining power, notice, fairness; consider public policy issues; seek legal advice on consumer/adhesion contracts"
AI Training Data & Scraping,"Emerging area; publishers alleging copyright infringement, TPM circumvention, breach of TOS for AI training",VERY HIGH (EMERGING),"Canadian Publishers v. OpenAI (2024, pending); CanLII v. Caseway AI (2024, pending)",Obtain explicit licenses for training data; respect robots.txt; do not circumvent TPMs; monitor ongoing litigation; implement compliance procedures
Extraterritorial Jurisdiction,Canadian courts may assert jurisdiction over foreign defendants with real and substantial connection to Canada,MEDIUM-HIGH,A.T. v. Globe24h.com (2017 FC 114); Google v. Equustek (2017 SCC 34),Assume Canadian law applies if serving Canadian users or scraping Canadian content; comply with Canadian copyright/privacy laws; consider global implications
Intermediary Liability,"Platforms facilitating infringement may be liable; courts can order intermediaries (e.g., Google) to take action",MEDIUM-HIGH,Google v. Equustek (2017 SCC 34 - worldwide de-indexing order),Implement DMCA-style notice-and-takedown procedures; respond to court orders; maintain records of compliance
Framing & Making Available Right,Displaying content from another website (framing) constitutes 'making available' = copyright infringement,HIGH,Trader v. CarGurus (2017 ONSC 1841),Do not frame third-party content without license; embed only with permission; use proper API access with authorization
